dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,51.861672,240.937712,0.000652,0.065217,3.260870,163.043478,0.372061
0.020000,51.861759,240.937747,0.000746,0.004696,-3.026094,-314.348184,0.372050
0.020000,51.861934,240.937815,0.000934,0.009391,0.234773,163.043334,0.372028
0.020000,51.862197,240.937917,0.001216,0.014086,0.234767,-0.000288,0.371995
0.020000,51.862547,240.938054,0.001591,0.018781,0.234758,-0.000432,0.371950
0.020000,51.862984,240.938224,0.002061,0.023476,0.234747,-0.000576,0.371895
0.020000,51.863509,240.938429,0.002624,0.028171,0.234732,-0.000721,0.371829
0.020000,51.864121,240.938668,0.003282,0.032865,0.234715,-0.000866,0.371751
0.020000,51.864821,240.938941,0.004033,0.037559,0.234695,-0.001012,0.371663
0.020000,51.865609,240.939248,0.004878,0.042253,0.234671,-0.001158,0.371564
0.020000,51.866483,240.939588,0.005817,0.046946,0.234645,-0.001305,0.371453
0.020000,51.867446,240.939963,0.006849,0.051638,0.234616,-0.001452,0.371332
0.020000,51.868496,240.940372,0.007976,0.056330,0.234584,-0.001600,0.371199
0.020000,51.869633,240.940815,0.009196,0.061021,0.234549,-0.001750,0.371056
0.020000,51.870858,240.941291,0.010511,0.065711,0.234511,-0.001900,0.370901
0.020000,51.906508,240.955152,0.048761,1.912505,92.339700,4605.259435,0.370735
0.020000,51.946818,240.970817,0.092007,2.162328,12.491166,-3992.426683,0.370559
0.020000,51.989647,240.987451,0.137954,2.297317,6.749436,-287.086520,0.370371
0.020000,52.034996,241.005055,0.186599,2.432277,6.748016,-0.070993,0.370172
0.020000,52.082864,241.023625,0.237943,2.567207,6.746514,-0.075088,0.369962
0.020000,52.133252,241.043160,0.291985,2.702106,6.744931,-0.079170,0.369741
0.020000,52.186181,241.063666,0.348747,2.838096,6.799471,2.727017,0.369509
0.020000,52.241632,241.085134,0.408209,2.973102,6.750339,-2.456640,0.369267
0.020000,52.298974,241.107318,0.469693,3.074174,5.053610,-84.836417,0.369015
0.020000,52.356946,241.129730,0.531846,3.107664,1.674465,-168.957251,0.368761
0.020000,52.414922,241.152125,0.593998,3.107588,-0.003806,-83.913571,0.368507
0.020000,52.472920,241.174513,0.656167,3.108430,0.042114,2.296015,0.368253
0.020000,52.530918,241.196883,0.718329,3.108136,-0.014697,-2.840562,0.367999
0.020000,52.588916,241.219237,0.780486,3.107842,-0.014685,0.000623,0.367745
0.020000,52.646915,241.241573,0.842637,3.107549,-0.014672,0.000622,0.367491
0.020000,52.704927,241.263898,0.904797,3.108000,0.022549,1.861082,0.367237
0.020000,52.762951,241.286211,0.966963,3.108311,0.015579,-0.348496,0.366983
0.020000,52.820975,241.308507,1.029124,3.108018,-0.014648,-1.511355,0.366729
0.020000,52.879000,241.330786,1.091278,3.107726,-0.014635,0.000622,0.366475
0.020000,52.937024,241.353048,1.153427,3.107433,-0.014623,0.000622,0.366221
0.020000,52.995073,241.375303,1.215595,3.108410,0.048824,3.172356,0.365967
0.020000,53.053123,241.397541,1.277759,3.108192,-0.010874,-2.984928,0.365713
0.020000,53.111173,241.419762,1.339917,3.107900,-0.014598,-0.186194,0.365459
0.020000,53.169224,241.441967,1.402069,3.107609,-0.014586,0.000622,0.365205
0.020000,53.227283,241.464157,1.464224,3.107771,0.008111,1.134821,0.364951
0.020000,53.285358,241.486338,1.526392,3.108364,0.029649,1.076896,0.364697
0.020000,53.343434,241.508501,1.588553,3.108073,-0.014561,-2.210480,0.364443
0.020000,53.401511,241.530648,1.650709,3.107782,-0.014548,0.000621,0.364190
0.020000,53.459587,241.552778,1.712859,3.107491,-0.014536,0.000621,0.363936
0.020000,53.517682,241.574898,1.775022,3.108181,0.034496,2.451591,0.363682
0.020000,53.575784,241.597004,1.837187,3.108243,0.003086,-1.570509,0.363428
0.020000,53.633885,241.619093,1.899346,3.107952,-0.014511,-0.879842,0.363174
0.020000,53.691988,241.641165,1.961499,3.107662,-0.014499,0.000621,0.362920
0.020000,53.750093,241.663221,2.023650,3.107551,-0.005570,0.446441,0.362666
0.020000,53.808220,241.685269,2.085819,3.108410,0.042961,2.426556,0.362412
0.020000,53.866348,241.707300,2.147981,3.108121,-0.014474,-2.871754,0.362158
0.020000,53.924475,241.729315,2.210138,3.107831,-0.014462,0.000621,0.361904
0.020000,53.982603,241.751312,2.272289,3.107542,-0.014449,0.000620,0.361650
0.020000,54.040744,241.773298,2.334448,3.107961,0.020916,1.768270,0.361396
0.020000,54.098897,241.795271,2.396613,3.108287,0.016297,-0.230947,0.361142
0.020000,54.157050,241.817227,2.458773,3.107998,-0.014424,-1.536076,0.360888
0.020000,54.215204,241.839167,2.520928,3.107710,-0.014412,0.000620,0.360634
0.020000,54.273357,241.861090,2.583076,3.107422,-0.014399,0.000620,0.360380
0.020000,54.331534,241.883004,2.645243,3.108368,0.047312,3.085548,0.360126
0.020000,54.389712,241.904903,2.707407,3.108163,-0.010275,-2.879338,0.359872
0.020000,54.447891,241.926785,2.769564,3.107875,-0.014374,-0.204961,0.359618
0.020000,54.506069,241.948649,2.831716,3.107588,-0.014362,0.000619,0.359365
0.020000,54.564257,241.970501,2.893871,3.107749,0.008068,1.121496,0.359111
0.020000,54.622460,241.992341,2.956037,3.108325,0.028779,1.035552,0.358857
0.020000,54.680664,242.014165,3.018198,3.108038,-0.014337,-2.155795,0.358603
0.020000,54.738868,242.035972,3.080353,3.107752,-0.014325,0.000619,0.358349
0.020000,54.797072,242.057762,3.142503,3.107465,-0.014312,0.000619,0.358095
0.020000,54.855295,242.079542,3.204666,3.108157,0.034552,2.443199,0.357841
0.020000,54.913524,242.101308,3.266830,3.108199,0.002118,-1.621667,0.357587
0.020000,54.971753,242.123057,3.328988,3.107913,-0.014287,-0.820277,0.357333
0.020000,55.029982,242.144789,3.391140,3.107628,-0.014275,0.000619,0.357080
0.020000,55.088216,242.166506,3.453291,3.107546,-0.004067,0.510382,0.356826
0.020000,55.146470,242.188214,3.515459,3.108357,0.040548,2.230765,0.356572
0.020000,55.204724,242.209904,3.577620,3.108072,-0.014250,-2.739889,0.356318
0.020000,55.262978,242.231579,3.639776,3.107788,-0.014237,0.000618,0.356064
0.020000,55.321233,242.253236,3.701926,3.107503,-0.014225,0.000618,0.355810
0.020000,55.379501,242.274882,3.764085,3.107953,0.022497,1.836087,0.355556
0.020000,55.437780,242.296515,3.826249,3.108229,0.013808,-0.434436,0.355302
0.020000,55.496060,242.318131,3.888408,3.107945,-0.014200,-1.400390,0.355049
0.020000,55.554339,242.339730,3.950562,3.107661,-0.014187,0.000618,0.354795
0.020000,55.612619,242.361312,4.012709,3.107378,-0.014175,0.000617,0.354541
0.020000,55.670922,242.382887,4.074876,3.108357,0.048960,3.156748,0.354287
0.020000,55.729226,242.404445,4.137038,3.108101,-0.012831,-3.089533,0.354033
0.020000,55.787531,242.425986,4.199195,3.107818,-0.014150,-0.065950,0.353780
0.020000,55.845835,242.447511,4.261345,3.107535,-0.014137,0.000617,0.353526
0.020000,55.904149,242.469022,4.323501,3.107757,0.011130,1.263340,0.353272
0.020000,55.962478,242.490522,4.385666,3.108254,0.024812,0.684103,0.353018
0.020000,56.020807,242.512005,4.447825,3.107971,-0.014112,-1.946175,0.352764
0.020000,56.079136,242.533471,4.509979,3.107689,-0.014100,0.000617,0.352511
0.020000,56.137465,242.554921,4.572127,3.107408,-0.014087,0.000616,0.352257
0.020000,56.195814,242.576360,4.634290,3.108161,0.037661,2.587390,0.352003
0.020000,56.254168,242.597785,4.696453,3.108123,-0.001894,-1.977751,0.351749
0.020000,56.312522,242.619194,4.758609,3.107842,-0.014062,-0.608369,0.351495
0.020000,56.370876,242.640585,4.820761,3.107561,-0.014050,0.000616,0.351242
0.020000,56.429235,242.661962,4.882912,3.107569,0.000432,0.724093,0.350988
0.020000,56.487613,242.683328,4.945077,3.108272,0.035146,1.735678,0.350734
0.020000,56.545992,242.704678,5.007237,3.107992,-0.014024,-2.458498,0.350481
0.020000,56.604370,242.726011,5.069392,3.107712,-0.014012,0.000616,0.350227
0.020000,56.662749,242.747328,5.131540,3.107432,-0.013999,0.000615,0.349973
0.020000,56.721143,242.768633,5.193700,3.107972,0.027023,2.051124,0.349719
0.020000,56.779546,242.789925,5.255862,3.108140,0.008381,-0.932113,0.349466
0.020000,56.837948,242.811200,5.318020,3.107860,-0.013974,-1.117735,0.349212
0.020000,56.896351,242.832458,5.380171,3.107581,-0.013962,0.000615,0.348958
0.020000,56.954756,242.853700,5.442319,3.107389,-0.009612,0.217494,0.348705
0.020000,57.013183,242.874934,5.504485,3.108285,0.044828,2.721999,0.348451
0.020000,57.071610,242.896150,5.566645,3.108007,-0.013936,-2.938214,0.348197
0.020000,57.130038,242.917350,5.628799,3.107728,-0.013924,0.000615,0.347944
0.020000,57.188465,242.938533,5.690948,3.107450,-0.013912,0.000614,0.347690
0.020000,57.246904,242.959704,5.753104,3.107790,0.017031,1.547102,0.347436
0.020000,57.305356,242.980863,5.815267,3.108151,0.018012,0.049078,0.347183
0.020000,57.363807,243.002004,5.877425,3.107873,-0.013886,-1.594899,0.346929
0.020000,57.422259,243.023129,5.939577,3.107595,-0.013874,0.000614,0.346675
0.020000,57.480711,243.044237,6.001723,3.107318,-0.013861,0.000614,0.346422
0.020000,57.539184,243.065337,6.063887,3.108189,0.043559,2.871004,0.346168
0.020000,57.597660,243.086420,6.126047,3.108016,-0.008690,-2.612416,0.345915
0.020000,57.656136,243.107487,6.188202,3.107739,-0.013836,-0.257305,0.345661
0.020000,57.714612,243.128537,6.250351,3.107462,-0.013823,0.000613,0.345407
0.020000,57.773096,243.149573,6.312503,3.107616,0.007666,1.074483,0.345154
0.020000,57.831595,243.170598,6.374667,3.108156,0.027016,0.967503,0.344900
0.020000,57.890095,243.191606,6.436824,3.107880,-0.013798,-2.040701,0.344647
0.020000,57.948595,243.212597,6.498976,3.107604,-0.013785,0.000613,0.344393
0.020000,58.007095,243.233572,6.561123,3.107329,-0.013773,0.000613,0.344140
0.020000,58.065613,243.254537,6.623283,3.108014,0.034234,2.400381,0.343886
0.020000,58.124137,243.275487,6.685443,3.108019,0.000275,-1.697957,0.343633
0.020000,58.182661,243.296420,6.747598,3.107744,-0.013747,-0.701137,0.343379
0.020000,58.241185,243.317336,6.809748,3.107470,-0.013735,0.000612,0.343126
0.020000,58.299713,243.338238,6.871897,3.107448,-0.001086,0.632439,0.342872
0.020000,58.358261,243.359129,6.934060,3.108156,0.035410,1.824825,0.342619
0.020000,58.416808,243.380004,6.996217,3.107882,-0.013709,-2.455973,0.342365
0.020000,58.475356,243.400862,7.058370,3.107608,-0.013697,0.000612,0.342112
0.020000,58.533904,243.421703,7.120516,3.107334,-0.013685,0.000612,0.341858
0.020000,58.592467,243.442533,7.182673,3.107844,0.025514,1.959945,0.341605
0.020000,58.651038,243.463350,7.244834,3.108017,0.008638,-0.843823,0.341351
0.020000,58.709609,243.484149,7.306988,3.107744,-0.013659,-1.114828,0.341098
0.020000,58.768181,243.504932,7.369138,3.107471,-0.013647,0.000611,0.340844
0.020000,58.826754,243.525699,7.431284,3.107286,-0.009244,0.220149,0.340591
0.020000,58.885349,243.546457,7.493447,3.108150,0.043210,2.622685,0.340338
0.020000,58.943944,243.567198,7.555604,3.107878,-0.013621,-2.841538,0.340084
0.020000,59.002539,243.587922,7.617756,3.107606,-0.013609,0.000611,0.339831
