dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,132.879113,253.693894,0.000048,0.004790,0.239516,11.975791,0.368964
0.020000,132.879113,253.693894,0.000240,0.014371,0.479032,11.975791,0.368972
0.020000,132.879113,253.693894,0.000671,0.028742,0.718547,11.975791,0.368990
0.020000,132.879113,253.693894,0.001437,0.047903,0.958063,11.975791,0.369022
0.020000,132.879113,253.693894,0.002635,0.071855,1.197579,11.975791,0.369072
0.020000,132.879113,253.693894,0.004359,0.100597,1.437095,11.975791,0.369144
0.020000,132.879113,253.693894,0.006706,0.134129,1.676611,11.975791,0.369241
0.020000,132.879113,253.693894,0.009772,0.172451,1.916127,11.975791,0.369369
0.020000,132.879113,253.693894,0.013652,0.215564,2.155642,11.975791,0.369530
0.020000,132.879113,253.693894,0.018443,0.263467,2.395158,11.975791,0.369730
0.020000,132.879113,253.693894,0.024239,0.316161,2.634674,11.975791,0.369971
0.020000,132.879113,253.693894,0.031137,0.373645,2.874190,11.975791,0.370258
0.020000,132.879113,253.693894,0.039233,0.435919,3.113706,11.975791,0.370594
0.020000,132.881198,253.694705,0.048622,0.502983,3.353221,11.975791,0.370984
0.020000,132.891243,253.698615,0.059400,0.574838,3.592737,11.975791,0.371432
0.020000,132.902670,253.703069,0.071663,0.651483,3.832253,11.975791,0.371941
0.020000,132.915565,253.708103,0.085507,0.732918,4.071769,11.975791,0.372516
0.020000,132.930019,253.713757,0.101028,0.819144,4.311285,11.975791,0.373160
0.020000,132.946120,253.720067,0.118321,0.910160,4.550801,11.975791,0.373878
0.020000,132.963953,253.727072,0.137482,1.005966,4.790316,11.975791,0.374672
0.020000,132.983612,253.734812,0.158607,1.106563,5.029832,11.975791,0.375548
0.020000,133.005175,253.743326,0.181793,1.211950,5.269348,11.975791,0.376508
0.020000,133.028738,253.752656,0.207133,1.322127,5.508864,11.975791,0.377557
0.020000,133.054379,253.762842,0.234726,1.437095,5.748380,11.975791,0.378698
0.020000,133.082192,253.773929,0.264665,1.556853,5.987895,11.975791,0.379935
0.020000,133.112257,253.785958,0.297048,1.681401,6.227411,11.975791,0.381273
