dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,135.944635,245.765932,0.000048,0.004790,0.239516,11.975791,0.368964
0.020000,135.944698,245.765956,0.000116,0.003389,-0.070053,-15.478455,0.368972
0.020000,135.944840,245.766011,0.000268,0.007626,0.211824,14.093870,0.368990
0.020000,135.945093,245.766109,0.000539,0.013557,0.296542,4.235917,0.369022
0.020000,135.945488,245.766262,0.000963,0.021181,0.381243,4.235049,0.369072
0.020000,135.946057,245.766482,0.001573,0.030500,0.465916,4.233627,0.369144
0.020000,135.946831,245.766782,0.002403,0.041511,0.550546,4.231512,0.369241
0.020000,135.947843,245.767173,0.003487,0.054213,0.635117,4.228564,0.369369
0.020000,135.949122,245.767669,0.004860,0.068605,0.719610,4.224641,0.369530
0.020000,135.950701,245.768280,0.006553,0.084685,0.804002,4.219601,0.369730
0.020000,135.952612,245.769021,0.008602,0.102451,0.888268,4.213299,0.369971
0.020000,135.954885,245.769903,0.011040,0.121898,0.972380,4.205589,0.370258
0.020000,135.957551,245.770938,0.013901,0.143024,1.056306,4.196318,0.370594
0.020000,135.962728,245.772951,0.019455,0.277698,6.733661,283.867749,0.370984
0.020000,135.976320,245.778242,0.034041,0.729313,22.580766,792.355236,0.371432
0.020000,135.991780,245.784269,0.050634,0.829650,5.016850,-878.195803,0.371941
0.020000,136.009226,245.791080,0.069362,0.936410,5.338009,16.057956,0.372516
0.020000,136.028780,245.798728,0.090358,1.049799,5.669462,16.572658,0.373160
0.020000,136.050559,245.807264,0.113750,1.169604,5.990244,16.039074,0.373878
0.020000,136.074677,245.816737,0.139662,1.295599,6.299741,15.474870,0.374672
0.020000,136.101260,245.827204,0.168232,1.428467,6.643420,17.183951,0.375548
0.020000,136.130415,245.838715,0.199577,1.567266,6.939950,14.826507,0.376508
0.020000,136.162267,245.851328,0.233835,1.712907,7.282040,17.104460,0.377557
0.020000,136.196923,245.865094,0.271125,1.864516,7.580439,14.919980,0.378698
0.020000,136.234505,245.880076,0.311584,2.022921,7.920223,16.989207,0.379935
