dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,39.410654,207.133454,0.000652,0.065217,3.260870,163.043478,4.181533
0.020000,39.410698,207.133528,0.000738,0.004303,-3.045713,-315.329129,4.181543
0.020000,39.410785,207.133676,0.000910,0.008607,0.215176,163.044466,4.181563
0.020000,39.410916,207.133899,0.001169,0.012911,0.215216,0.001975,4.181593
0.020000,39.411090,207.134196,0.001513,0.017216,0.215275,0.002963,4.181634
0.020000,39.411308,207.134567,0.001943,0.021524,0.215354,0.003951,4.181685
0.020000,39.411569,207.135013,0.002460,0.025833,0.215453,0.004941,4.181745
0.020000,39.411874,207.135533,0.003063,0.030144,0.215572,0.005931,4.181816
0.020000,39.412223,207.136127,0.003752,0.034458,0.215710,0.006922,4.181897
0.020000,39.412615,207.136796,0.004528,0.038776,0.215868,0.007915,4.181989
0.020000,39.413051,207.137540,0.005390,0.043097,0.216046,0.008909,4.182090
0.020000,39.413531,207.138358,0.006338,0.047421,0.216245,0.009905,4.182202
0.020000,39.414054,207.139251,0.007373,0.051751,0.216463,0.010903,4.182323
0.020000,39.414622,207.140219,0.008495,0.056085,0.216701,0.011903,4.182455
0.020000,39.407746,207.128479,0.022099,0.680226,31.207085,1549.519234,4.182598
0.020000,39.388616,207.095809,0.059958,1.892944,60.635857,1471.438572,4.182750
0.020000,39.368223,207.060968,0.100329,2.018543,6.279979,-2717.793900,4.182913
0.020000,39.346568,207.023957,0.143209,2.144027,6.274209,-0.288505,4.183086
0.020000,39.323654,206.984778,0.188597,2.269389,6.268079,-0.306474,4.183269
0.020000,39.299483,206.943432,0.236490,2.394621,6.261591,-0.324431,4.183463
0.020000,39.274034,206.899880,0.286933,2.522161,6.377000,5.770463,4.183667
0.020000,39.247311,206.854127,0.339918,2.649255,6.354700,-1.114994,4.183882
0.020000,39.219338,206.806208,0.395403,2.774269,6.250700,-5.200016,4.184107
0.020000,39.190436,206.756671,0.452756,2.867618,4.667482,-79.160894,4.184339
0.020000,39.161239,206.706603,0.510716,2.897997,1.518922,-157.428003,4.184575
0.020000,39.132017,206.656464,0.568748,2.901616,0.180986,-66.896767,4.184811
0.020000,39.102820,206.606342,0.626755,2.900337,-0.063982,-12.248427,4.185047
0.020000,39.073647,206.556234,0.684736,2.899057,-0.063971,0.000554,4.185284
0.020000,39.044500,206.506141,0.742691,2.897778,-0.063960,0.000554,4.185520
0.020000,39.015340,206.456002,0.800693,2.900104,0.116286,9.012289,4.185758
0.020000,38.986192,206.405853,0.858699,2.900250,0.007314,-5.448574,4.185995
0.020000,38.957068,206.355719,0.916678,2.898967,-0.064149,-3.573170,4.186232
0.020000,38.927968,206.305600,0.974632,2.897684,-0.064138,0.000558,4.186470
0.020000,38.898873,206.255461,1.032601,2.898482,0.039874,5.200586,4.186708
0.020000,38.869773,206.205286,1.090604,2.900153,0.083576,2.185120,4.186947
0.020000,38.840698,206.155126,1.148582,2.898867,-0.064328,-7.395189,4.187185
0.020000,38.811648,206.104982,1.206533,2.897581,-0.064316,0.000562,4.187424
0.020000,38.782616,206.054842,1.264471,2.896885,-0.034760,1.477807,4.187663
0.020000,38.753565,206.004641,1.322472,2.900046,0.158057,9.640872,4.187903
0.020000,38.724539,205.954455,1.380447,2.898756,-0.064507,-11.128189,4.188142
0.020000,38.695538,205.904285,1.438396,2.897466,-0.064495,0.000566,4.188382
0.020000,38.666562,205.854130,1.496320,2.896177,-0.064484,0.000566,4.188622
0.020000,38.637569,205.803918,1.554301,2.899067,0.144496,10.448988,4.188863
0.020000,38.608592,205.753707,1.612274,2.898636,-0.021557,-8.302631,4.189104
0.020000,38.579640,205.703511,1.670221,2.897342,-0.064675,-2.155891,4.189345
0.020000,38.550714,205.653330,1.728142,2.896049,-0.064663,0.000570,4.189586
0.020000,38.521785,205.603117,1.786092,2.897521,0.073627,6.914501,4.189828
0.020000,38.492858,205.552880,1.844062,2.898504,0.049153,-1.223699,4.190069
0.020000,38.463956,205.502659,1.902006,2.897207,-0.064855,-5.700364,4.190312
0.020000,38.435079,205.452452,1.959925,2.895910,-0.064843,0.000574,4.190554
0.020000,38.406214,205.402238,2.017845,2.896001,0.004543,3.469293,4.190796
0.020000,38.377337,205.351975,2.075812,2.898363,0.118074,5.676577,4.191040
0.020000,38.348485,205.301728,2.133753,2.897062,-0.065035,-9.155459,4.191283
0.020000,38.319659,205.251496,2.191668,2.895762,-0.065023,0.000578,4.191526
0.020000,38.290857,205.201279,2.249558,2.894507,-0.062753,0.113507,4.191770
0.020000,38.262031,205.150991,2.307523,2.898211,0.185205,12.397906,4.192014
0.020000,38.233230,205.100719,2.365461,2.896906,-0.065216,-12.521030,4.192258
0.020000,38.204454,205.050462,2.423373,2.895602,-0.065204,0.000583,4.192503
0.020000,38.175704,205.000220,2.481259,2.894298,-0.065192,0.000583,4.192748
0.020000,38.146941,204.949929,2.539195,2.896787,0.124410,9.480117,4.192993
0.020000,38.118191,204.899631,2.597129,2.896740,-0.002331,-6.337049,4.193238
0.020000,38.089466,204.849349,2.655038,2.895432,-0.065385,-3.152708,4.193484
0.020000,38.060767,204.799082,2.712920,2.894125,-0.065373,0.000587,4.193730
0.020000,38.032067,204.748788,2.770827,2.895343,0.060890,6.313145,4.193976
0.020000,38.003368,204.698465,2.828759,2.896563,0.061018,0.006410,4.194223
0.020000,37.974695,204.648157,2.886664,2.895252,-0.065567,-6.329222,4.194470
0.020000,37.946047,204.597866,2.944542,2.893941,-0.065555,0.000591,4.194717
0.020000,37.917412,204.547567,3.002421,2.893924,-0.000837,3.235910,4.194964
0.020000,37.888764,204.497219,3.060348,2.896375,0.122569,6.170289,4.195212
0.020000,37.860142,204.446887,3.118250,2.895060,-0.065749,-9.415894,4.195460
0.020000,37.831546,204.396570,3.176125,2.893745,-0.065737,0.000595,4.195708
0.020000,37.802974,204.346268,3.233975,2.892530,-0.060766,0.248546,4.195956
0.020000,37.774379,204.295895,3.291899,2.896177,0.182320,12.154320,4.196205
0.020000,37.745809,204.245537,3.349796,2.894858,-0.065931,-12.412589,4.196454
0.020000,37.717265,204.195196,3.407667,2.893540,-0.065919,0.000600,4.196703
0.020000,37.688747,204.144870,3.465511,2.892221,-0.065907,0.000600,4.196953
0.020000,37.660214,204.094491,3.523409,2.894907,0.134293,10.009994,4.197203
0.020000,37.631697,204.044109,3.581302,2.894645,-0.013126,-7.370927,4.197453
0.020000,37.603205,203.993743,3.639169,2.893323,-0.066102,-2.648813,4.197704
0.020000,37.574739,203.943393,3.697009,2.892001,-0.066090,0.000604,4.197954
0.020000,37.546270,203.893008,3.754880,2.893564,0.078147,7.211835,4.198206
0.020000,37.517806,203.842601,3.812768,2.894421,0.042835,-1.765560,4.198457
0.020000,37.489367,203.792210,3.870630,2.893095,-0.066286,-5.456048,4.198709
0.020000,37.460954,203.741836,3.928466,2.891769,-0.066273,0.000609,4.198960
0.020000,37.432548,203.691445,3.986310,2.892245,0.023803,4.503819,4.199213
0.020000,37.404137,203.641014,4.044194,2.894185,0.096991,3.659413,4.199465
0.020000,37.375751,203.590599,4.102051,2.892856,-0.066469,-8.173032,4.199718
0.020000,37.347391,203.540199,4.159882,2.891527,-0.066457,0.000613,4.199971
0.020000,37.319050,203.489803,4.217701,2.890952,-0.028736,1.886065,4.200224
0.020000,37.290692,203.439347,4.275580,2.893939,0.149339,8.903752,4.200478
0.020000,37.262360,203.388908,4.333432,2.892606,-0.066654,-10.799644,4.200732
0.020000,37.234054,203.338484,4.391257,2.891273,-0.066641,0.000618,4.200986
0.020000,37.205773,203.288076,4.449056,2.889940,-0.066629,0.000618,4.201241
0.020000,37.177472,203.237601,4.506924,2.893424,0.174200,12.041437,4.201496
0.020000,37.149193,203.187137,4.564771,2.892344,-0.054000,-11.409980,4.201751
0.020000,37.120941,203.136689,4.622591,2.891008,-0.066826,-0.641307,4.202006
0.020000,37.092715,203.086257,4.680385,2.889671,-0.066814,0.000622,4.202262
0.020000,37.064477,203.035775,4.738229,2.892180,0.125449,9.613145,4.202518
0.020000,37.036253,202.985287,4.796070,2.892072,-0.005447,-6.544832,4.202775
0.020000,37.008055,202.934815,4.853885,2.890731,-0.067011,-3.078190,4.203031
0.020000,36.979884,202.884359,4.911672,2.889391,-0.066999,0.000627,4.203288
0.020000,36.951709,202.833869,4.969492,2.890962,0.078508,7.275341,4.203545
0.020000,36.923540,202.783357,5.027327,2.891787,0.041293,-1.860773,4.203803
0.020000,36.895397,202.732861,5.085136,2.890443,-0.067197,-5.424473,4.204061
0.020000,36.867280,202.682381,5.142918,2.889100,-0.067184,0.000631,4.204319
0.020000,36.839170,202.631883,5.200714,2.889767,0.033379,5.028131,4.204577
0.020000,36.811055,202.581347,5.258543,2.891492,0.086218,2.641984,4.204836
0.020000,36.782967,202.530827,5.316346,2.890144,-0.067383,-7.680046,4.205095
0.020000,36.754906,202.480323,5.374122,2.888797,-0.067370,0.000636,4.205354
0.020000,36.726859,202.429816,5.431894,2.888598,-0.009938,2.871616,4.205614
0.020000,36.698800,202.379257,5.489718,2.891184,0.129327,6.963233,4.205874
0.020000,36.670768,202.328713,5.547515,2.889833,-0.067569,-9.844807,4.206134
0.020000,36.642761,202.278186,5.605284,2.888482,-0.067556,0.000641,4.206395
0.020000,36.614778,202.227670,5.663033,2.887453,-0.051438,0.805895,4.206655
0.020000,36.586775,202.177086,5.720851,2.890866,0.170617,11.102776,4.206917
0.020000,36.558799,202.126519,5.778641,2.889510,-0.067756,-11.918657,4.207178
