dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.080476,211.436765,0.000047,0.004706,0.235294,11.764706,4.181530
0.020000,32.080476,211.436765,0.000235,0.014118,0.470588,11.764706,4.181531
0.020000,32.080476,211.436765,0.000659,0.028235,0.705882,11.764706,4.181533
0.020000,32.080476,211.436765,0.001412,0.047059,0.941176,11.764706,4.181536
0.020000,32.080476,211.436765,0.002588,0.070588,1.176471,11.764706,4.181540
0.020000,32.080476,211.436765,0.004282,0.098824,1.411765,11.764706,4.181547
0.020000,32.080476,211.436765,0.006588,0.131765,1.647059,11.764706,4.181556
0.020000,32.080476,211.436765,0.009600,0.169412,1.882353,11.764706,4.181567
0.020000,32.080476,211.436765,0.013412,0.211765,2.117647,11.764706,4.181582
0.020000,32.080476,211.436765,0.018118,0.258824,2.352941,11.764706,4.181601
0.020000,32.080476,211.436765,0.023812,0.310588,2.588235,11.764706,4.181623
0.020000,32.080476,211.436765,0.030588,0.367059,2.823529,11.764706,4.181649
0.020000,32.080476,211.436765,0.038541,0.428235,3.058824,11.764706,4.181680
0.020000,32.080476,211.436765,0.047765,0.494118,3.294118,11.764706,4.181716
0.020000,32.080476,211.436765,0.058353,0.564706,3.529412,11.764706,4.181757
0.020000,32.080476,211.436765,0.070400,0.640000,3.764706,11.764706,4.181804
0.020000,32.080476,211.436765,0.084000,0.720000,4.000000,11.764706,4.181856
0.020000,32.080476,211.436765,0.099200,0.800000,4.000000,0.000000,4.181915
0.020000,32.080476,211.436765,0.116000,0.880000,4.000000,-0.000000,4.181981
0.020000,32.080476,211.436765,0.134400,0.960000,4.000000,0.000000,4.182052
0.020000,32.080476,211.436765,0.154400,1.040000,4.000000,0.000000,4.182130
0.020000,32.080476,211.436765,0.176000,1.120000,4.000000,0.000000,4.182214
0.020000,32.080476,211.436765,0.199200,1.200000,4.000000,0.000000,4.182304
0.020000,32.080476,211.436765,0.224000,1.280000,4.000000,-0.000000,4.182401
0.020000,32.080476,211.436765,0.250400,1.360000,4.000000,0.000000,4.182503
0.020000,32.071050,211.420671,0.278400,1.440000,4.000000,0.000000,4.182613
0.020000,32.056084,211.395111,0.308000,1.520000,4.000000,0.000000,4.182728
0.020000,32.040315,211.368174,0.339200,1.600000,4.000000,0.000000,4.182850
0.020000,32.023745,211.339858,0.372000,1.680000,4.000000,0.000000,4.182978
0.020000,32.006374,211.310166,0.406400,1.760000,4.000000,-0.000000,4.183112
0.020000,31.988204,211.279098,0.442400,1.840000,4.000000,0.000000,4.183252
0.020000,31.969235,211.246654,0.480000,1.920000,4.000000,0.000000,4.183399
0.020000,31.949470,211.212836,0.519200,2.000000,4.000000,0.000000,4.183552
0.020000,31.928873,211.177582,0.560000,2.080000,4.000000,0.000000,4.183712
0.020000,31.907480,211.140952,0.602400,2.160000,4.000000,0.000000,4.183878
0.020000,31.885293,211.102948,0.646400,2.240000,4.000000,0.000000,4.184051
0.020000,31.862312,211.063569,0.692000,2.320000,4.000000,-0.000000,4.184230
0.020000,31.838541,211.022816,0.739200,2.400000,4.000000,0.000000,4.184415
0.020000,31.813970,210.980677,0.788000,2.480000,4.000000,-0.000000,4.184606
0.020000,31.788576,210.937105,0.838400,2.560000,4.000000,0.000000,4.184805
0.020000,31.762394,210.892160,0.890400,2.640000,4.000000,0.000000,4.185010
0.020000,31.735425,210.845843,0.944000,2.720000,4.000000,-0.000000,4.185221
0.020000,31.707672,210.798155,0.999200,2.800000,4.000000,0.000000,4.185438
0.020000,31.679119,210.749068,1.056000,2.880000,4.000000,0.000000,4.185663
0.020000,31.649751,210.698552,1.114400,2.960000,4.000000,0.000000,4.185894
0.020000,31.619602,210.646667,1.174400,3.040000,4.000000,0.000000,4.186131
