dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.750308,215.740094,0.000047,0.004706,0.235294,11.764706,4.181530
0.020000,24.750305,215.740089,0.000053,0.000310,-0.219769,-22.753177,4.181531
0.020000,24.750298,215.740077,0.000067,0.000699,0.019406,11.958771,4.181533
0.020000,24.750285,215.740055,0.000092,0.001242,0.027169,0.388137,4.181536
0.020000,24.750266,215.740022,0.000131,0.001941,0.034932,0.388164,4.181540
0.020000,24.750238,215.739973,0.000187,0.002795,0.042696,0.388208,4.181547
0.020000,24.750199,215.739908,0.000263,0.003804,0.050462,0.388274,4.181556
0.020000,24.750149,215.739822,0.000362,0.004968,0.058229,0.388365,4.181567
0.020000,24.750085,215.739714,0.000488,0.006288,0.065999,0.388486,4.181582
0.020000,24.750006,215.739580,0.000643,0.007764,0.073771,0.388641,4.181601
0.020000,24.749911,215.739418,0.000831,0.009395,0.081548,0.388835,4.181623
0.020000,24.749798,215.739225,0.001055,0.011181,0.089330,0.389072,4.181649
0.020000,24.749665,215.738999,0.001317,0.013124,0.097117,0.389357,4.181680
0.020000,24.749511,215.738736,0.001622,0.015222,0.104911,0.389692,4.181716
0.020000,24.749334,215.738435,0.001971,0.017476,0.112712,0.390084,4.181757
0.020000,24.749133,215.738091,0.002369,0.019887,0.120523,0.390536,4.181804
0.020000,24.748906,215.737704,0.002818,0.022453,0.128344,0.391052,4.181856
0.020000,24.748652,215.737271,0.003320,0.025099,0.132291,0.197354,4.181915
0.020000,24.748371,215.736792,0.003875,0.027747,0.132362,0.003536,4.181981
0.020000,24.748064,215.736268,0.004483,0.030395,0.132440,0.003909,4.182052
0.020000,24.747729,215.735698,0.005144,0.033046,0.132526,0.004283,4.182130
0.020000,24.747368,215.735082,0.005858,0.035698,0.132619,0.004658,4.182214
0.020000,24.746980,215.734420,0.006625,0.038353,0.132720,0.005033,4.182304
0.020000,24.746566,215.733713,0.007445,0.041009,0.132828,0.005409,4.182401
0.020000,24.746124,215.732959,0.008318,0.043668,0.132943,0.005786,4.182503
0.020000,24.736230,215.716065,0.027897,0.978911,46.762173,2331.461478,4.182613
0.020000,24.720768,215.689659,0.058496,1.529988,27.553823,-960.417503,4.182728
0.020000,24.704477,215.661829,0.090744,1.612392,4.120183,-1171.682015,4.182850
0.020000,24.687357,215.632575,0.124639,1.694748,4.117829,-0.117659,4.182978
0.020000,24.669410,215.601898,0.160180,1.777055,4.115356,-0.123660,4.183112
0.020000,24.650637,215.569799,0.197366,1.859311,4.112763,-0.129655,4.183252
0.020000,24.631038,215.536277,0.236197,1.941512,4.110050,-0.135645,4.183399
0.020000,24.610616,215.501335,0.276670,2.023656,4.107218,-0.141630,4.183552
0.020000,24.589334,215.464908,0.318858,2.109386,4.286527,8.965476,4.183712
0.020000,24.567229,215.427059,0.362689,2.191561,4.108724,-8.890175,4.183878
0.020000,24.544302,215.387788,0.408162,2.273662,4.105061,-0.183129,4.184051
0.020000,24.520556,215.347096,0.455276,2.355697,4.101739,-0.166083,4.184230
0.020000,24.495991,215.304984,0.504029,2.437663,4.098298,-0.172057,4.184415
0.020000,24.470600,215.261438,0.554438,2.520419,4.137813,1.975727,4.184606
0.020000,24.444357,215.216409,0.606555,2.605896,4.273857,6.802193,4.184805
0.020000,24.417298,215.169960,0.660311,2.687782,4.094284,-8.978619,4.185010
0.020000,24.389426,215.122091,0.715703,2.769589,4.090353,-0.196560,4.185221
0.020000,24.360743,215.072804,0.772729,2.851315,4.086303,-0.202516,4.185438
0.020000,24.331231,215.022070,0.831422,2.934660,4.167241,4.046936,4.185663
0.020000,24.300876,214.969857,0.891817,3.019753,4.254650,4.370431,4.185894
0.020000,24.269714,214.916226,0.953845,3.101361,4.080419,-8.711532,4.186131
0.020000,24.237745,214.861178,1.017502,3.182879,4.075879,-0.227042,4.186375
0.020000,24.204969,214.804708,1.082795,3.264661,4.089080,0.660065,4.186626
0.020000,24.171337,214.746727,1.149824,3.351450,4.339492,12.520593,4.186883
0.020000,24.136903,214.687330,1.218481,3.432820,4.068488,-13.550175,4.187147
0.020000,24.101670,214.626517,1.288763,3.514089,4.063457,-0.251582,4.187418
0.020000,24.065627,214.564267,1.360695,3.596607,4.125882,3.121289,4.187695
0.020000,24.028739,214.500515,1.434349,3.682713,4.305329,8.972347,4.187979
0.020000,23.991058,214.435349,1.509625,3.763805,4.054552,-12.538873,4.188270
0.020000,23.952585,214.368770,1.586521,3.844785,4.049029,-0.276119,4.188568
0.020000,23.913277,214.300697,1.665128,3.930343,4.277898,11.443444,4.188873
0.020000,23.873160,214.231174,1.745395,4.013381,4.151871,-6.301352,4.189184
0.020000,23.832258,214.160238,1.827278,4.094153,4.038604,-5.663364,4.189502
0.020000,23.790543,214.087841,1.910834,4.177766,4.180675,7.103564,4.189828
0.020000,23.748005,214.013957,1.996089,4.262748,4.249097,3.421076,4.190160
0.020000,23.704688,213.938662,2.082954,4.343289,4.027026,-11.103567,4.190499
0.020000,23.660569,213.861913,2.171480,4.426269,4.149026,6.100042,4.190845
0.020000,23.615625,213.783666,2.261717,4.511837,4.278416,6.469497,4.191198
0.020000,23.569910,213.704009,2.353559,4.592123,4.014289,-13.206340,4.191559
0.020000,23.523392,213.622884,2.447075,4.675786,4.183130,8.442030,4.191926
0.020000,23.476060,213.540271,2.542286,4.760578,4.239630,2.825005,4.192301
0.020000,23.427965,213.456251,2.639098,4.840586,4.000392,-11.961906,4.192682
0.020000,23.379052,213.370725,2.737623,4.926249,4.283129,14.136824,4.193071
0.020000,23.329352,213.283745,2.837801,5.008900,4.132577,-7.527593,4.193468
0.020000,23.278892,213.195354,2.939581,5.089001,4.005058,-6.375953,4.193871
0.020000,23.227595,213.105410,3.043125,5.177195,4.409671,20.230680,4.194282
0.020000,23.175548,213.014062,3.148260,5.256732,3.976860,-21.640573,4.194700
0.020000,23.122705,212.921227,3.255081,5.341047,4.215721,11.943054,4.195126
0.020000,23.069073,212.826914,3.363577,5.424806,4.187950,-1.388526,4.195559
0.020000,23.014691,212.731181,3.473678,5.505050,4.012226,-8.786237,4.195999
0.020000,22.959508,212.633940,3.585485,5.590369,4.265970,12.687228,4.196447
0.020000,22.903662,212.535427,3.698726,5.662070,3.585016,-34.047684,4.196902
0.020000,22.847128,212.435592,3.813457,5.736539,3.723470,6.922663,4.197364
0.020000,22.790009,212.334616,3.929468,5.800563,3.201167,-26.115155,4.197832
0.020000,22.732328,212.232534,4.046720,5.862592,3.101468,-4.984921,4.198305
0.020000,22.674136,212.129433,4.165110,5.919471,2.843941,-12.876369,4.198785
0.020000,22.615503,212.025432,4.284500,5.969502,2.501589,-17.117581,4.199269
0.020000,22.556436,211.920544,4.404876,6.018791,2.464421,-1.858402,4.199759
0.020000,22.497045,211.814958,4.526020,6.057203,1.920627,-27.189697,4.200252
0.020000,22.437301,211.708621,4.647990,6.098525,2.066082,7.272753,4.200750
0.020000,22.377344,211.601782,4.770504,6.125672,1.357370,-35.435618,4.201252
0.020000,22.317119,211.494336,4.893676,6.158639,1.648329,14.547932,4.201757
0.020000,22.256778,211.386558,5.017196,6.175993,0.867676,-39.032612,4.202265
0.020000,22.196278,211.278365,5.141156,6.198001,1.100405,11.636448,4.202776
0.020000,22.135748,211.169987,5.265292,6.206767,0.438292,-33.105653,4.203288
0.020000,22.075164,211.061383,5.389651,6.217964,0.559855,6.078153,4.203803
0.020000,22.014636,210.952747,5.514011,6.218008,0.002227,-27.881410,4.204319
0.020000,21.954135,210.844029,5.638429,6.220914,0.145304,7.153848,4.204836
0.020000,21.893705,210.735305,5.762819,6.219483,-0.071552,-10.842808,4.205354
0.020000,21.833312,210.626515,5.887248,6.221457,0.098672,8.511211,4.205874
0.020000,21.772981,210.517702,6.011667,6.220949,-0.025406,-6.203913,4.206395
0.020000,21.712696,210.408839,6.136108,6.222028,0.053962,3.968421,4.206917
0.020000,21.652464,210.299938,6.260556,6.222404,0.018815,-1.757373,4.207440
0.020000,21.592287,210.191001,6.385008,6.222628,0.011178,-0.381827,4.207964
0.020000,21.532155,210.082012,6.509485,6.223850,0.061107,2.496439,4.208490
0.020000,21.472087,209.973001,6.633950,6.223256,-0.029676,-4.539163,4.209017
0.020000,21.412056,209.863923,6.758456,6.225286,0.101467,6.557153,4.209545
0.020000,21.352097,209.754837,6.882934,6.223914,-0.068597,-8.503218,4.210074
0.020000,21.292168,209.645671,7.007469,6.226711,0.139891,10.424406,4.210605
0.020000,21.232317,209.536510,7.131961,6.224600,-0.105582,-12.273631,4.211137
0.020000,21.172491,209.427255,7.256523,6.228127,0.176375,14.097837,4.211670
0.020000,21.112750,209.318017,7.381029,6.225315,-0.140626,-15.850045,4.212204
0.020000,21.053028,209.208673,7.505620,6.229533,0.210916,17.577092,4.212740
0.020000,20.993397,209.099359,7.630141,6.226059,-0.173726,-19.232108,4.213277
0.020000,20.933778,208.989927,7.754760,6.230929,0.243510,20.861822,4.213816
0.020000,20.874257,208.880534,7.879296,6.226831,-0.204879,-22.419473,4.214355
0.020000,20.814743,208.771014,8.003943,6.232314,0.274154,23.951682,4.214896
0.020000,20.755334,208.661543,8.128495,6.227633,-0.234082,-25.411799,4.215438
0.020000,20.695925,208.551934,8.253169,6.233690,0.302845,26.846333,4.215981
0.020000,20.636623,208.442377,8.377746,6.228854,-0.241752,-27.229853,4.216526
0.020000,20.577325,208.332686,8.502440,6.234663,0.290423,26.608755,4.217072
0.020000,20.518129,208.223041,8.627044,6.230209,-0.222680,-25.655166,4.217619
0.020000,20.458943,208.113269,8.751754,6.235522,0.265627,24.415373,4.218168
0.020000,20.399855,208.003536,8.876385,6.231554,-0.198401,-23.201417,4.218718
0.020000,20.340781,207.893684,9.001113,6.236410,0.242788,22.059470,4.219269
0.020000,20.281802,207.783861,9.125771,6.232888,-0.176082,-20.943496,4.219821
0.020000,20.222841,207.673928,9.250518,6.237326,0.221909,19.899553,4.220375
0.020000,20.163970,207.564017,9.375202,6.234212,-0.155725,-18.881716,4.220931
0.020000,20.105122,207.454002,9.499967,6.238272,0.202993,17.935930,4.221487
0.020000,20.046362,207.344002,9.624678,6.235525,-0.137334,-17.016385,4.222045
0.020000,19.987628,207.233904,9.749463,6.239246,0.186044,16.168907,4.222604
0.020000,19.928978,207.123816,9.874199,6.236827,-0.120912,-15.347804,4.223165
0.020000,19.870358,207.013635,9.999004,6.240249,0.171064,14.598783,4.223727
0.020000,19.811820,206.903458,10.123767,6.238120,-0.106462,-13.876268,4.224290
0.020000,19.753315,206.793192,10.248592,6.241281,0.158055,13.225849,4.224855
0.020000,19.694889,206.682926,10.373380,6.239401,-0.093986,-12.602067,4.225421
0.020000,19.636498,206.572576,10.498227,6.242341,0.147022,12.050393,4.225989
0.020000,19.578186,206.462221,10.623041,6.240672,-0.083488,-11.525485,4.226558
0.020000,19.519911,206.351785,10.747909,6.243431,0.137966,11.072695,4.227128
0.020000,19.461713,206.241342,10.872748,6.241931,-0.074970,-10.646800,4.227699
0.020000,19.403554,206.130819,10.997639,6.244549,0.130890,10.293029,4.228273
0.020000,19.345471,206.020288,11.122502,6.243181,-0.068435,-9.966281,4.228847
0.020000,19.287428,205.909678,11.247416,6.245697,0.125798,9.711663,4.229423
0.020000,19.229460,205.799057,11.372305,6.244419,-0.063886,-9.484193,4.230000
0.020000,19.171534,205.688360,11.497242,6.246873,0.122691,9.328858,4.230579
0.020000,19.113684,205.577650,11.622155,6.245646,-0.061325,-9.200795,4.231159
0.020000,19.055875,205.466864,11.747117,6.248078,0.121573,9.144868,4.231741
0.020000,18.998142,205.356066,11.872054,6.246863,-0.060754,-9.116338,4.232324
0.020000,18.940451,205.245191,11.997040,6.249311,0.122445,9.159943,4.232908
0.020000,18.882837,205.134304,12.122002,6.248068,-0.062176,-9.231066,4.233494
0.020000,18.825264,205.023339,12.247013,6.250574,0.125310,9.374322,4.234081
0.020000,18.767769,204.912363,12.371998,6.249262,-0.065594,-9.545217,4.234670
0.020000,18.710315,204.801307,12.497036,6.251866,0.130171,9.788241,4.235261
0.020000,18.652940,204.690243,12.622044,6.250445,-0.071010,-10.059022,4.235852
0.020000,18.595606,204.579096,12.747108,6.253186,0.137029,10.401926,4.236446
0.020000,18.538352,204.467942,12.872141,6.251618,-0.078425,-10.772705,4.237040
0.020000,18.481138,204.356703,12.997231,6.254535,0.145887,11.215599,4.237636
0.020000,18.424006,204.245461,13.122287,6.252778,-0.087843,-11.686483,4.238234
0.020000,18.366912,204.134129,13.247405,6.255913,0.156746,12.229471,4.238833
0.020000,18.309902,204.022797,13.372484,6.253928,-0.099265,-12.800564,4.239434
0.020000,18.252929,203.911372,13.497630,6.257320,0.169610,13.443749,4.240036
0.020000,18.196044,203.799952,13.622731,6.255066,-0.112693,-14.115152,4.240640
0.020000,18.139193,203.688432,13.747906,6.258756,0.184480,14.858632,4.241245
0.020000,18.082432,203.576923,13.873030,6.256193,-0.128129,-15.630440,4.241852
0.020000,18.025703,203.465308,13.998235,6.260220,0.201357,16.474310,4.242460
0.020000,17.969067,203.353710,14.123381,6.257309,-0.145575,-17.346616,4.243070
0.020000,17.912461,203.241999,14.248615,6.261714,0.220244,18.290965,4.243681
0.020000,17.855952,203.130313,14.373783,6.258413,-0.165033,-19.263859,4.244294
0.020000,17.799469,203.018506,14.499048,6.263236,0.241142,20.308775,4.244909
0.020000,17.743088,202.906730,14.624238,6.259506,-0.186505,-21.382341,4.245524
0.020000,17.686728,202.794826,14.749534,6.264787,0.264054,22.527906,4.246142
0.020000,17.630475,202.682961,14.874746,6.260587,-0.209991,-23.702225,4.246761
