dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,58.041784,225.100850,0.000652,0.065217,3.260870,163.043478,0.372061
0.020000,58.041697,225.100816,0.000746,0.004696,-3.026094,-314.348184,0.372050
0.020000,58.041522,225.100748,0.000934,0.009391,0.234773,163.043334,0.372028
0.020000,58.041259,225.100645,0.001216,0.014086,0.234767,-0.000288,0.371995
0.020000,58.040909,225.100509,0.001591,0.018781,0.234758,-0.000432,0.371950
0.020000,58.040472,225.100338,0.002061,0.023476,0.234747,-0.000576,0.371895
0.020000,58.039947,225.100133,0.002624,0.028171,0.234732,-0.000721,0.371829
0.020000,58.039335,225.099895,0.003282,0.032865,0.234715,-0.000866,0.371751
0.020000,58.038635,225.099622,0.004033,0.037559,0.234695,-0.001012,0.371663
0.020000,58.037847,225.099315,0.004878,0.042253,0.234671,-0.001158,0.371564
0.020000,58.036972,225.098974,0.005817,0.046946,0.234645,-0.001305,0.371453
0.020000,58.036010,225.098599,0.006849,0.051638,0.234616,-0.001452,0.371332
0.020000,58.034960,225.098190,0.007976,0.056330,0.234584,-0.001600,0.371199
0.020000,58.033823,225.097748,0.009196,0.061021,0.234549,-0.001750,0.371056
0.020000,58.032598,225.097271,0.010511,0.065711,0.234511,-0.001900,0.370901
0.020000,58.065623,225.110112,0.045944,1.771675,85.298227,4253.185800,0.370735
0.020000,58.103133,225.124688,0.086187,2.012118,12.022121,-3663.805336,0.370559
0.020000,58.142987,225.140167,0.128941,2.137729,6.280575,-287.077277,0.370371
0.020000,58.185186,225.156548,0.174207,2.263314,6.279256,-0.065968,0.370172
0.020000,58.229729,225.173828,0.221985,2.388872,6.277861,-0.069751,0.369962
0.020000,58.276616,225.192006,0.272273,2.514399,6.276390,-0.073518,0.369741
0.020000,58.325868,225.211087,0.325092,2.640942,6.327146,2.537767,0.369509
0.020000,58.377467,225.231065,0.380423,2.766571,6.281431,-2.285757,0.369267
0.020000,58.430826,225.251708,0.437636,2.860622,4.702573,-78.942864,0.369015
0.020000,58.484771,225.272562,0.495471,2.891786,1.558170,-157.220150,0.368761
0.020000,58.538720,225.293402,0.553306,2.891716,-0.003514,-78.084212,0.368507
0.020000,58.592689,225.314234,0.611156,2.892500,0.039220,2.136693,0.368253
0.020000,58.646658,225.335051,0.669000,2.892227,-0.013641,-2.643067,0.367999
0.020000,58.700627,225.355851,0.726839,2.891955,-0.013626,0.000751,0.367745
0.020000,58.754597,225.376636,0.784673,2.891682,-0.013611,0.000751,0.367491
0.020000,58.808579,225.397411,0.842515,2.892103,0.021028,1.731974,0.367237
0.020000,58.862573,225.418174,0.900363,2.892394,0.014546,-0.324115,0.366983
0.020000,58.916566,225.438921,0.958205,2.892122,-0.013578,-1.406197,0.366729
0.020000,58.970560,225.459652,1.016042,2.891851,-0.013563,0.000751,0.366475
0.020000,59.024554,225.480368,1.073874,2.891580,-0.013548,0.000750,0.366221
0.020000,59.078570,225.501076,1.131724,2.892490,0.045495,2.952166,0.365967
0.020000,59.132588,225.521770,1.189569,2.892289,-0.010053,-2.777412,0.365713
0.020000,59.186606,225.542448,1.247410,2.892019,-0.013515,-0.173088,0.365459
0.020000,59.240624,225.563110,1.305245,2.891749,-0.013500,0.000750,0.365205
0.020000,59.294650,225.583759,1.363083,2.891901,0.007624,1.056167,0.364951
0.020000,59.348692,225.604399,1.420932,2.892454,0.027669,1.002267,0.364697
0.020000,59.402734,225.625023,1.478776,2.892185,-0.013466,-2.056765,0.364443
0.020000,59.456776,225.645631,1.536614,2.891916,-0.013451,0.000750,0.364190
0.020000,59.510819,225.666224,1.594447,2.891647,-0.013436,0.000750,0.363936
0.020000,59.564879,225.686808,1.652293,2.892291,0.032193,2.281479,0.363682
0.020000,59.618945,225.707378,1.710140,2.892351,0.002968,-1.461249,0.363428
0.020000,59.673011,225.727933,1.767981,2.892082,-0.013403,-0.818557,0.363174
0.020000,59.727077,225.748472,1.825818,2.891815,-0.013388,0.000749,0.362920
0.020000,59.781147,225.768996,1.883652,2.891713,-0.005076,0.415605,0.362666
0.020000,59.835237,225.789513,1.941502,2.892515,0.040088,2.258193,0.362412
0.020000,59.889327,225.810014,1.999347,2.892248,-0.013354,-2.672121,0.362158
0.020000,59.943418,225.830499,2.057187,2.891981,-0.013339,0.000749,0.361904
0.020000,59.997508,225.850969,2.115021,2.891715,-0.013324,0.000749,0.361650
0.020000,60.051612,225.871428,2.172863,2.892106,0.019588,1.645632,0.361396
0.020000,60.105726,225.891875,2.230711,2.892412,0.015294,-0.214731,0.361142
0.020000,60.159840,225.912306,2.288554,2.892146,-0.013291,-1.429220,0.360888
0.020000,60.213955,225.932722,2.346392,2.891881,-0.013276,0.000749,0.360634
0.020000,60.268069,225.953122,2.404224,2.891616,-0.013261,0.000748,0.360380
0.020000,60.322206,225.973515,2.462074,2.892499,0.044168,2.871437,0.360126
0.020000,60.376344,225.993893,2.519920,2.892311,-0.009416,-2.679198,0.359872
0.020000,60.430482,226.014255,2.577761,2.892046,-0.013227,-0.190555,0.359618
0.020000,60.484621,226.034601,2.635597,2.891782,-0.013212,0.000748,0.359365
0.020000,60.538767,226.054935,2.693436,2.891935,0.007663,1.043787,0.359111
0.020000,60.592929,226.075259,2.751285,2.892474,0.026940,0.963816,0.358857
0.020000,60.647091,226.095567,2.809129,2.892210,-0.013179,-2.005916,0.358603
0.020000,60.701253,226.115860,2.866968,2.891947,-0.013164,0.000748,0.358349
0.020000,60.755416,226.136137,2.924802,2.891684,-0.013149,0.000748,0.358095
0.020000,60.809596,226.156405,2.982649,2.892331,0.032326,2.273720,0.357841
0.020000,60.863781,226.176659,3.040496,2.892374,0.002148,-1.508884,0.357587
0.020000,60.917967,226.196898,3.098338,2.892111,-0.013115,-0.763146,0.357333
0.020000,60.972153,226.217121,3.156175,2.891849,-0.013100,0.000747,0.357080
0.020000,61.026343,226.237330,3.214011,2.891777,-0.003598,0.475116,0.356826
0.020000,61.080553,226.257531,3.271862,2.892536,0.037923,2.076052,0.356572
0.020000,61.134762,226.277715,3.329707,2.892275,-0.013066,-2.549474,0.356318
0.020000,61.188972,226.297885,3.387547,2.892014,-0.013051,0.000747,0.356064
0.020000,61.243182,226.318038,3.445382,2.891753,-0.013036,0.000747,0.355810
0.020000,61.297405,226.338181,3.503226,2.892176,0.021140,1.708785,0.355556
0.020000,61.351638,226.358312,3.561075,2.892437,0.013058,-0.404096,0.355302
0.020000,61.405871,226.378428,3.618918,2.892177,-0.013002,-1.302992,0.355049
0.020000,61.460105,226.398528,3.676757,2.891917,-0.012987,0.000746,0.354795
0.020000,61.514338,226.418612,3.734590,2.891658,-0.012972,0.000746,0.354541
0.020000,61.568594,226.438689,3.792441,2.892573,0.045783,2.937778,0.354287
0.020000,61.622851,226.458750,3.850288,2.892339,-0.011714,-2.874878,0.354033
0.020000,61.677108,226.478796,3.908130,2.892080,-0.012938,-0.061200,0.353780
0.020000,61.731365,226.498826,3.965966,2.891822,-0.012923,0.000746,0.353526
0.020000,61.785631,226.518844,4.023807,2.892034,0.010593,1.175818,0.353272
0.020000,61.839912,226.538852,4.081657,2.892500,0.023329,0.636795,0.353018
0.020000,61.894192,226.558844,4.139501,2.892242,-0.012889,-1.810909,0.352764
0.020000,61.948472,226.578820,4.197341,2.891985,-0.012874,0.000745,0.352511
0.020000,62.002753,226.598781,4.255176,2.891728,-0.012860,0.000745,0.352257
0.020000,62.057052,226.618733,4.313024,2.892434,0.035300,2.407981,0.352003
0.020000,62.111356,226.638670,4.370872,2.892404,-0.001506,-1.840302,0.351749
0.020000,62.165660,226.658593,4.428715,2.892147,-0.012825,-0.565972,0.351495
0.020000,62.219964,226.678500,4.486553,2.891891,-0.012811,0.000745,0.351242
0.020000,62.274273,226.698393,4.544391,2.891904,0.000670,0.674013,0.350988
0.020000,62.328600,226.718277,4.602243,2.892564,0.032978,1.615401,0.350734
0.020000,62.382927,226.738145,4.660089,2.892308,-0.012776,-2.287705,0.350481
0.020000,62.437254,226.757998,4.717930,2.892053,-0.012761,0.000744,0.350227
0.020000,62.491582,226.777835,4.775766,2.891798,-0.012747,0.000744,0.349973
0.020000,62.545924,226.797662,4.833612,2.892307,0.025433,1.908968,0.349719
0.020000,62.600274,226.817476,4.891461,2.892468,0.008088,-0.867253,0.349466
0.020000,62.654625,226.837275,4.949306,2.892214,-0.012712,-1.040002,0.349212
0.020000,62.708975,226.857058,5.007145,2.891960,-0.012697,0.000744,0.348958
0.020000,62.763328,226.876826,5.064980,2.891787,-0.008646,0.202575,0.348705
0.020000,62.817701,226.896587,5.122833,2.892628,0.042020,2.533318,0.348451
0.020000,62.872074,226.916331,5.180681,2.892374,-0.012663,-2.734177,0.348197
0.020000,62.926448,226.936060,5.238523,2.892122,-0.012648,0.000743,0.347944
0.020000,62.980822,226.955774,5.296360,2.891869,-0.012633,0.000743,0.347690
0.020000,63.035207,226.975476,5.354204,2.892192,0.016166,1.439947,0.347436
0.020000,63.089604,226.995167,5.412055,2.892534,0.017083,0.045854,0.347183
0.020000,63.144001,227.014842,5.469901,2.892282,-0.012599,-1.484082,0.346929
0.020000,63.198398,227.034501,5.527741,2.892030,-0.012584,0.000743,0.346675
0.020000,63.252795,227.054145,5.585577,2.891779,-0.012569,0.000742,0.346422
0.020000,63.307213,227.073781,5.643429,2.892596,0.040871,2.672036,0.346168
0.020000,63.361632,227.093402,5.701277,2.892441,-0.007749,-2.431029,0.345915
0.020000,63.416052,227.113008,5.759121,2.892191,-0.012535,-0.239286,0.345661
0.020000,63.470473,227.132598,5.816960,2.891940,-0.012520,0.000742,0.345407
0.020000,63.524901,227.152175,5.874802,2.892090,0.007483,1.000136,0.345154
