dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,129.813591,261.621855,0.000048,0.004790,0.239516,11.975791,0.368964
0.020000,129.813528,261.621831,0.000116,0.003389,-0.070053,-15.478455,0.368972
0.020000,129.813385,261.621776,0.000268,0.007626,0.211824,14.093870,0.368990
0.020000,129.813132,261.621678,0.000539,0.013557,0.296542,4.235917,0.369022
0.020000,129.812737,261.621525,0.000963,0.021181,0.381243,4.235049,0.369072
0.020000,129.812168,261.621305,0.001573,0.030500,0.465916,4.233627,0.369144
0.020000,129.811394,261.621005,0.002403,0.041511,0.550546,4.231512,0.369241
0.020000,129.810383,261.620614,0.003487,0.054213,0.635117,4.228564,0.369369
0.020000,129.809103,261.620119,0.004860,0.068605,0.719610,4.224641,0.369530
0.020000,129.807524,261.619507,0.006553,0.084685,0.804002,4.219601,0.369730
0.020000,129.805614,261.618766,0.008602,0.102451,0.888268,4.213299,0.369971
0.020000,129.803341,261.617884,0.011040,0.121898,0.972380,4.205589,0.370258
0.020000,129.800674,261.616849,0.013901,0.143024,1.056306,4.196318,0.370594
0.020000,129.799668,261.616458,0.014980,0.053967,-4.452858,-275.458205,0.370984
0.020000,129.806166,261.618987,0.021953,0.348650,14.734150,959.350403,0.371432
0.020000,129.813559,261.621869,0.029887,0.396712,2.403109,-616.552092,0.371941
0.020000,129.821903,261.625127,0.038845,0.447885,2.558616,7.775372,0.372516
0.020000,129.831258,261.628786,0.048890,0.502275,2.719492,8.043791,0.373160
0.020000,129.841682,261.632871,0.060086,0.559790,2.875770,7.813910,0.373878
0.020000,129.853230,261.637407,0.072493,0.620334,3.027216,7.572287,0.374672
0.020000,129.865963,261.642421,0.086178,0.684248,3.195673,8.422864,0.375548
0.020000,129.879936,261.647937,0.101200,0.751093,3.342273,7.330020,0.376508
0.020000,129.895208,261.653985,0.117626,0.821323,3.511511,8.461889,0.377557
0.020000,129.911835,261.660590,0.135517,0.894538,3.660709,7.459892,0.378698
0.020000,129.929878,261.667782,0.154940,0.971153,3.830761,8.502598,0.379935
0.020000,129.949391,261.675589,0.175957,1.050857,3.985219,7.722922,0.381273
