dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,132.879113,253.693894,0.000047,0.004706,0.235294,11.764706,0.368964
0.020000,132.879113,253.693894,0.000235,0.014118,0.470588,11.764706,0.368972
0.020000,132.879113,253.693894,0.000659,0.028235,0.705882,11.764706,0.368990
0.020000,132.879113,253.693894,0.001412,0.047059,0.941176,11.764706,0.369021
0.020000,132.879113,253.693894,0.002588,0.070588,1.176471,11.764706,0.369070
0.020000,132.879113,253.693894,0.004282,0.098824,1.411765,11.764706,0.369141
0.020000,132.879113,253.693894,0.006588,0.131765,1.647059,11.764706,0.369236
0.020000,132.879113,253.693894,0.009600,0.169412,1.882353,11.764706,0.369362
0.020000,132.879113,253.693894,0.013412,0.211765,2.117647,11.764706,0.369520
0.020000,132.879113,253.693894,0.018118,0.258824,2.352941,11.764706,0.369716
0.020000,132.879113,253.693894,0.023812,0.310588,2.588235,11.764706,0.369953
0.020000,132.879113,253.693894,0.030588,0.367059,2.823529,11.764706,0.370235
0.020000,132.879113,253.693894,0.038541,0.428235,3.058824,11.764706,0.370565
0.020000,132.880399,253.694394,0.047765,0.494118,3.294118,11.764706,0.370949
0.020000,132.890268,253.698235,0.058353,0.564706,3.529412,11.764706,0.371389
0.020000,132.901493,253.702610,0.070400,0.640000,3.764706,11.764706,0.371889
0.020000,132.914161,253.707555,0.084000,0.720000,4.000000,11.764706,0.372454
0.020000,132.928317,253.713091,0.099200,0.800000,4.000000,0.000000,0.373084
0.020000,132.943960,253.719220,0.116000,0.880000,4.000000,-0.000000,0.373781
0.020000,132.961086,253.725944,0.134400,0.960000,4.000000,0.000000,0.374544
0.020000,132.979697,253.733269,0.154400,1.040000,4.000000,0.000000,0.375373
0.020000,132.999789,253.741197,0.176000,1.120000,4.000000,0.000000,0.376268
0.020000,133.021362,253.749733,0.199200,1.200000,4.000000,0.000000,0.377229
0.020000,133.044413,253.758879,0.224000,1.280000,4.000000,-0.000000,0.378255
0.020000,133.068943,253.768642,0.250400,1.360000,4.000000,0.000000,0.379346
0.020000,133.094944,253.779025,0.278400,1.440000,4.000000,0.000000,0.380503
0.020000,133.122422,253.790036,0.308000,1.520000,4.000000,0.000000,0.381724
0.020000,133.151369,253.801677,0.339200,1.600000,4.000000,0.000000,0.383011
0.020000,133.181782,253.813955,0.372000,1.680000,4.000000,0.000000,0.384363
0.020000,133.213665,253.826877,0.406400,1.760000,4.000000,-0.000000,0.385779
0.020000,133.247009,253.840448,0.442400,1.840000,4.000000,0.000000,0.387259
0.020000,133.281814,253.854675,0.480000,1.920000,4.000000,0.000000,0.388804
0.020000,133.318075,253.869564,0.519200,2.000000,4.000000,0.000000,0.390412
0.020000,133.355792,253.885122,0.560000,2.080000,4.000000,0.000000,0.392084
0.020000,133.394960,253.901358,0.602400,2.160000,4.000000,0.000000,0.393819
0.020000,133.435576,253.918278,0.646400,2.240000,4.000000,0.000000,0.395618
0.020000,133.477638,253.935890,0.692000,2.320000,4.000000,-0.000000,0.397479
0.020000,133.521140,253.954203,0.739200,2.400000,4.000000,0.000000,0.399403
0.020000,133.566081,253.973224,0.788000,2.480000,4.000000,-0.000000,0.401389
0.020000,133.612455,253.992963,0.838400,2.560000,4.000000,0.000000,0.403436
0.020000,133.660259,254.013428,0.890400,2.640000,4.000000,0.000000,0.405546
0.020000,133.709489,254.034628,0.944000,2.720000,4.000000,-0.000000,0.407716
0.020000,133.760140,254.056572,0.999200,2.800000,4.000000,0.000000,0.409947
0.020000,133.812207,254.079269,1.056000,2.880000,4.000000,0.000000,0.412237
0.020000,133.865686,254.102731,1.114400,2.960000,4.000000,0.000000,0.414588
0.020000,133.920575,254.126966,1.174400,3.040000,4.000000,0.000000,0.416998
0.020000,133.976865,254.151985,1.236000,3.120000,4.000000,0.000000,0.419467
0.020000,134.034553,254.177797,1.299200,3.200000,4.000000,0.000000,0.421995
0.020000,134.093635,254.204415,1.364000,3.280000,4.000000,-0.000000,0.424580
0.020000,134.154102,254.231847,1.430400,3.360000,4.000000,0.000000,0.427222
0.020000,134.215953,254.260106,1.498400,3.440000,4.000000,-0.000000,0.429921
0.020000,134.279178,254.289202,1.568000,3.520000,4.000000,-0.000000,0.432676
0.020000,134.343776,254.319148,1.639200,3.600000,4.000000,0.000000,0.435487
0.020000,134.409736,254.349953,1.712000,3.680000,4.000000,0.000000,0.438353
0.020000,134.477056,254.381630,1.786400,3.760000,4.000000,0.000000,0.441272
0.020000,134.545728,254.414191,1.862400,3.840000,4.000000,-0.000000,0.444245
0.020000,134.615744,254.447648,1.940000,3.920000,4.000000,0.000000,0.447271
0.020000,134.687100,254.482012,2.019200,4.000000,4.000000,0.000000,0.450349
0.020000,134.759789,254.517297,2.100000,4.080000,4.000000,0.000000,0.453478
0.020000,134.833804,254.553514,2.182400,4.160000,4.000000,0.000000,0.456658
0.020000,134.909136,254.590675,2.266400,4.240000,4.000000,0.000000,0.459887
0.020000,134.985779,254.628794,2.352000,4.320000,4.000000,0.000000,0.463165
0.020000,135.063727,254.667883,2.439200,4.400000,4.000000,-0.000000,0.466491
0.020000,135.142971,254.707955,2.528000,4.480000,4.000000,0.000000,0.469863
0.020000,135.223505,254.749023,2.618400,4.560000,4.000000,-0.000000,0.473282
0.020000,135.305319,254.791099,2.710400,4.640000,4.000000,-0.000000,0.476746
