dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,135.950106,245.768050,0.000047,0.004706,0.235294,11.764706,0.369655
0.020000,135.950141,245.768063,0.000084,0.001867,-0.141928,-18.861106,0.369659
0.020000,135.950220,245.768094,0.000168,0.004201,0.116704,12.931622,0.369669
0.020000,135.950359,245.768148,0.000318,0.007469,0.163377,2.333640,0.369686
0.020000,135.950576,245.768232,0.000551,0.011670,0.210036,2.332951,0.369714
0.020000,135.950890,245.768353,0.000887,0.016803,0.256673,2.331823,0.369753
0.020000,135.951316,245.768519,0.001345,0.022869,0.303276,2.330145,0.369807
0.020000,135.951873,245.768735,0.001942,0.029865,0.349832,2.327809,0.369878
0.020000,135.952578,245.769008,0.002698,0.037792,0.396326,2.324703,0.369966
0.020000,135.953448,245.769345,0.003631,0.046647,0.442740,2.320717,0.370076
0.020000,135.954500,245.769754,0.004759,0.056428,0.489055,2.315742,0.370209
0.020000,135.955751,245.770239,0.006102,0.067133,0.535248,2.309664,0.370367
0.020000,135.957220,245.770810,0.007677,0.078759,0.581296,2.302375,0.370552
0.020000,135.958922,245.771471,0.009503,0.091302,0.627171,2.293760,0.370767
0.020000,135.965770,245.774135,0.016851,0.367381,13.803954,658.839164,0.371014
0.020000,135.979217,245.779368,0.031281,0.721491,17.705471,195.075830,0.371294
0.020000,135.994394,245.785280,0.047569,0.814399,4.645439,-653.001577,0.371610
0.020000,136.011352,245.791892,0.065770,0.910091,4.784572,6.956619,0.371963
0.020000,136.030091,245.799207,0.085886,1.005774,4.784184,-0.019384,0.372353
0.020000,136.050608,245.807225,0.107914,1.101410,4.781776,-0.120408,0.372780
0.020000,136.072901,245.815950,0.131854,1.196974,4.778205,-0.178544,0.373244
0.020000,136.096970,245.825382,0.157704,1.292539,4.778244,0.001938,0.373744
0.020000,136.122811,245.835524,0.185465,1.388015,4.773780,-0.223180,0.374280
0.020000,136.150423,245.846379,0.215134,1.483450,4.771753,-0.101374,0.374853
0.020000,136.179803,245.857949,0.246710,1.578829,4.768996,-0.137829,0.375462
0.020000,136.210950,245.870238,0.280193,1.674138,4.765438,-0.177920,0.376107
0.020000,136.243859,245.883247,0.315581,1.769385,4.762342,-0.154786,0.376788
