dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000574,8.500000,0.000652,0.065217,3.260870,163.043478,6.283118
0.020000,0.000566,8.500000,0.000661,0.000435,-3.239117,-324.999330,6.283119
0.020000,0.000548,8.500000,0.000678,0.000870,0.021751,163.043401,6.283121
0.020000,0.000522,8.500000,0.000704,0.001305,0.021748,-0.000154,6.283124
0.020000,0.000487,8.500000,0.000739,0.001740,0.021743,-0.000230,6.283128
0.020000,0.000444,8.500000,0.000783,0.002175,0.021737,-0.000307,6.283133
0.020000,0.000392,8.500000,0.000835,0.002609,0.021729,-0.000384,6.283139
0.020000,0.000331,8.500000,0.000896,0.003044,0.021720,-0.000461,6.283146
0.020000,0.000261,8.500000,0.000965,0.003478,0.021710,-0.000538,6.283155
0.020000,0.000183,8.500000,0.001044,0.003912,0.021697,-0.000615,6.283164
0.020000,0.000096,8.500000,0.001130,0.004345,0.021683,-0.000691,6.283174
0.020000,0.000001,8.500000,0.001226,0.004779,0.021668,-0.000768,6.283185
0.020000,0.031012,8.500000,0.032237,1.550551,77.288600,3863.346586,0.000012
0.020000,0.064812,8.500001,0.066037,1.690008,6.972866,-3515.786689,0.000025
0.020000,0.101212,8.500002,0.102437,1.820010,6.500108,-23.637917,0.000040
0.020000,0.140212,8.500004,0.141438,1.950013,6.500125,0.000851,0.000055
0.020000,0.181813,8.500006,0.183038,2.080016,6.500168,0.002191,0.000071
0.020000,0.226013,8.500010,0.227238,2.210021,6.500257,0.004448,0.000089
0.020000,0.272814,8.500015,0.274039,2.340025,6.500190,-0.003364,0.000107
0.020000,0.322214,8.500020,0.323439,2.470029,6.500212,0.001096,0.000126
0.020000,0.374215,8.500027,0.375440,2.600036,6.500315,0.005140,0.000147
0.020000,0.428816,8.500036,0.430041,2.730042,6.500328,0.000668,0.000168
0.020000,0.486017,8.500046,0.487242,2.860048,6.500292,-0.001794,0.000191
0.020000,0.545168,8.500058,0.546393,2.957555,4.875364,-81.246434,0.000214
0.020000,0.604969,8.500072,0.606194,2.990062,1.625329,-162.501709,0.000237
0.020000,0.664770,8.500087,0.665996,2.990066,0.000215,-81.255726,0.000261
0.020000,0.724572,8.500103,0.725797,2.990072,0.000308,0.004676,0.000284
0.020000,0.784373,8.500121,0.785599,2.990078,0.000282,-0.001312,0.000307
0.020000,0.844175,8.500140,0.845400,2.990082,0.000215,-0.003347,0.000331
0.020000,0.903977,8.500160,0.905202,2.990089,0.000327,0.005577,0.000354
0.020000,0.963779,8.500182,0.965004,2.990094,0.000264,-0.003161,0.000377
0.020000,1.023581,8.500205,1.024806,2.990098,0.000216,-0.002399,0.000400
0.020000,1.083383,8.500230,1.084608,2.990105,0.000345,0.006468,0.000424
0.020000,1.143185,8.500256,1.144410,2.990110,0.000245,-0.004989,0.000447
0.020000,1.202987,8.500283,1.204213,2.990115,0.000216,-0.001462,0.000470
0.020000,1.262790,8.500312,1.264015,2.990122,0.000363,0.007349,0.000494
0.020000,1.322592,8.500342,1.323818,2.990126,0.000227,-0.006796,0.000517
0.020000,1.382395,8.500374,1.383620,2.990131,0.000224,-0.000161,0.000540
0.020000,1.442197,8.500407,1.443423,2.990138,0.000366,0.007094,0.000563
0.020000,1.502000,8.500441,1.503226,2.990142,0.000217,-0.007457,0.000586
0.020000,1.561803,8.500477,1.563029,2.990147,0.000242,0.001286,0.000610
0.020000,1.621606,8.500514,1.622832,2.990154,0.000347,0.005238,0.000633
0.020000,1.681409,8.500553,1.682635,2.990159,0.000217,-0.006507,0.000656
0.020000,1.741213,8.500593,1.742438,2.990164,0.000260,0.002180,0.000679
0.020000,1.801016,8.500634,1.802242,2.990170,0.000329,0.003403,0.000702
0.020000,1.860820,8.500677,1.862045,2.990175,0.000217,-0.005566,0.000725
0.020000,1.920623,8.500721,1.921849,2.990180,0.000278,0.003064,0.000748
0.020000,1.980427,8.500766,1.981652,2.990187,0.000310,0.001590,0.000771
0.020000,2.040231,8.500813,2.041456,2.990191,0.000218,-0.004637,0.000795
0.020000,2.100035,8.500861,2.101260,2.990197,0.000296,0.003937,0.000818
0.020000,2.159839,8.500911,2.161064,2.990203,0.000292,-0.000203,0.000841
0.020000,2.219643,8.500962,2.220868,2.990207,0.000218,-0.003718,0.000864
0.020000,2.279447,8.501014,2.280673,2.990213,0.000314,0.004800,0.000887
0.020000,2.339251,8.501068,2.340477,2.990219,0.000274,-0.001974,0.000910
0.020000,2.399056,8.501123,2.400282,2.990223,0.000218,-0.002810,0.000933
0.020000,2.458860,8.501179,2.460086,2.990230,0.000331,0.005653,0.000956
0.020000,2.518665,8.501237,2.519891,2.990235,0.000257,-0.003724,0.000979
0.020000,2.578470,8.501297,2.579696,2.990239,0.000219,-0.001912,0.001002
0.020000,2.638275,8.501357,2.639501,2.990246,0.000348,0.006495,0.001025
0.020000,2.698080,8.501419,2.699306,2.990251,0.000239,-0.005454,0.001048
0.020000,2.757885,8.501482,2.759111,2.990255,0.000219,-0.001025,0.001071
0.020000,2.817690,8.501547,2.818916,2.990263,0.000365,0.007328,0.001093
0.020000,2.877495,8.501613,2.878721,2.990267,0.000222,-0.007163,0.001116
0.020000,2.937301,8.501681,2.938527,2.990272,0.000233,0.000564,0.001139
0.020000,2.997106,8.501750,2.998332,2.990279,0.000354,0.006012,0.001162
0.020000,3.056912,8.501820,3.058138,2.990283,0.000219,-0.006713,0.001185
0.020000,3.116718,8.501891,3.117944,2.990288,0.000251,0.001574,0.001208
0.020000,3.176523,8.501964,3.177750,2.990295,0.000336,0.004255,0.001231
0.020000,3.236329,8.502038,3.237556,2.990299,0.000220,-0.005813,0.001253
0.020000,3.296135,8.502114,3.297362,2.990305,0.000268,0.002420,0.001276
0.020000,3.355942,8.502191,3.357168,2.990311,0.000319,0.002519,0.001299
0.020000,3.415748,8.502269,3.416974,2.990316,0.000220,-0.004923,0.001322
0.020000,3.475554,8.502349,3.476781,2.990321,0.000285,0.003255,0.001345
0.020000,3.535361,8.502430,3.536587,2.990327,0.000301,0.000804,0.001367
0.020000,3.595167,8.502513,3.596394,2.990332,0.000220,-0.004043,0.001390
0.020000,3.654974,8.502597,3.656201,2.990338,0.000302,0.004081,0.001413
0.020000,3.714781,8.502682,3.716007,2.990343,0.000284,-0.000891,0.001436
0.020000,3.774588,8.502768,3.775814,2.990348,0.000221,-0.003174,0.001458
0.020000,3.834395,8.502856,3.835621,2.990354,0.000319,0.004896,0.001481
0.020000,3.894202,8.502945,3.895429,2.990360,0.000267,-0.002565,0.001504
0.020000,3.954009,8.503036,3.955236,2.990364,0.000221,-0.002315,0.001526
0.020000,4.013816,8.503128,4.015043,2.990371,0.000335,0.005701,0.001549
0.020000,4.073624,8.503221,4.074851,2.990376,0.000251,-0.004219,0.001572
0.020000,4.133431,8.503316,4.134658,2.990380,0.000221,-0.001466,0.001594
0.020000,4.193239,8.503412,4.194466,2.990387,0.000351,0.006497,0.001617
0.020000,4.253047,8.503509,4.254274,2.990392,0.000234,-0.005854,0.001640
0.020000,4.312855,8.503608,4.314082,2.990396,0.000226,-0.000431,0.001662
