dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000652,0.065217,3.260870,163.043478,6.283118
0.020000,50.764684,0.427610,50.940000,3.000000,0.000000,0.000000,0.015323
0.020000,58.503679,0.552277,58.680000,3.000000,0.000000,0.000000,0.016856
0.020000,58.563671,0.553289,58.740000,3.000000,0.000000,0.000000,0.016867
0.020000,58.623662,0.554301,58.800000,3.000000,0.000000,0.000000,0.016878
0.020000,58.683654,0.555314,58.860000,3.000000,0.000000,0.000000,0.016890
0.020000,58.743645,0.556328,58.920000,3.000000,0.000000,0.000000,0.016901
0.020000,58.803637,0.557342,58.980000,3.000000,0.000000,0.000000,0.016912
0.020000,58.863628,0.558357,59.040000,3.000000,0.000000,0.000000,0.016923
0.020000,58.923619,0.559373,59.100000,3.000000,0.000000,0.000000,0.016933
0.020000,58.983611,0.560389,59.160000,3.000000,0.000000,0.000000,0.016944
0.020000,59.043602,0.561406,59.220000,3.000000,0.000000,0.000000,0.016955
0.020000,59.103594,0.562424,59.280000,3.000000,0.000000,0.000000,0.016966
0.020000,59.163585,0.563442,59.340000,3.000000,0.000000,0.000000,0.016977
0.020000,59.223576,0.564461,59.400000,3.000000,0.000000,0.000000,0.016988
0.020000,59.283568,0.565480,59.460000,3.000000,0.000000,0.000000,0.016999
0.020000,59.343559,0.566500,59.520000,3.000000,0.000000,0.000000,0.017010
0.020000,59.403550,0.567521,59.580000,3.000000,0.000000,0.000000,0.017021
0.020000,59.463542,0.568543,59.640000,3.000000,0.000000,0.000000,0.017032
0.020000,59.523533,0.569565,59.700000,3.000000,0.000000,0.000000,0.017043
0.020000,59.583524,0.570588,59.760000,3.000000,0.000000,0.000000,0.017053
0.020000,59.643515,0.571611,59.820000,3.000000,0.000000,0.000000,0.017064
0.020000,59.703507,0.572635,59.880000,3.000000,0.000000,0.000000,0.017075
0.020000,59.763498,0.573660,59.940000,3.000000,0.000000,0.000000,0.017086
0.020000,59.823489,0.574686,60.000000,3.000000,0.000000,0.000000,0.017097
0.020000,59.883480,0.575712,60.060000,3.000000,0.000000,0.000000,0.017107
0.020000,59.943472,0.576738,60.120000,3.000000,0.000000,0.000000,0.017118
0.020000,60.003463,0.577766,60.180000,3.000000,0.000000,0.000000,0.017129
0.020000,60.063454,0.578794,60.240000,3.000000,0.000000,0.000000,0.017140
0.020000,60.123445,0.579823,60.300000,3.000000,0.000000,0.000000,0.017150
0.020000,60.183436,0.580852,60.360000,3.000000,0.000000,0.000000,0.017161
0.020000,60.243428,0.581882,60.420000,3.000000,0.000000,0.000000,0.017172
0.020000,60.303419,0.582912,60.480000,3.000000,0.000000,0.000000,0.017182
0.020000,60.363410,0.583944,60.540000,3.000000,0.000000,0.000000,0.017193
0.020000,60.423401,0.584975,60.600000,3.000000,0.000000,0.000000,0.017204
0.020000,60.483392,0.586008,60.660000,3.000000,0.000000,0.000000,0.017214
0.020000,60.543383,0.587041,60.720000,3.000000,0.000000,0.000000,0.017225
0.020000,60.603374,0.588075,60.780000,3.000000,0.000000,0.000000,0.017236
0.020000,60.663365,0.589109,60.840000,3.000000,0.000000,0.000000,0.017246
0.020000,60.723356,0.590144,60.900000,3.000000,0.000000,0.000000,0.017257
0.020000,60.783347,0.591180,60.960000,3.000000,0.000000,0.000000,0.017267
0.020000,60.843339,0.592216,61.020000,3.000000,0.000000,0.000000,0.017278
0.020000,60.903330,0.593253,61.080000,3.000000,0.000000,0.000000,0.017289
0.020000,60.963321,0.594291,61.140000,3.000000,0.000000,0.000000,0.017299
0.020000,61.023312,0.595329,61.200000,3.000000,0.000000,0.000000,0.017310
0.020000,61.083303,0.596368,61.260000,3.000000,0.000000,0.000000,0.017320
0.020000,61.143294,0.597407,61.320000,3.000000,0.000000,0.000000,0.017331
0.020000,61.203285,0.598447,61.380000,3.000000,0.000000,0.000000,0.017341
